".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"Amax",38959,426,641,1335,"High light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1076,10.4,"SE",1.2,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,10.4,1.2
"Amax",38960,426,641,1334,"Low light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,4.9,"SE",0.6,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,4.9,0.6
"Amax",38961,426,641,1336,"Low light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,6.1,"SE",0.4,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,6.1,0.4
"Amax",38962,426,641,1337,"High light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,4.7,"SE",0.8,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,4.7,0.8
"Amax",38963,426,641,1335,"High light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1170,4,"SE",0.6,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,4,0.6
"Amax",38983,426,641,1335,"High light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1429,8.7,"SE",1.6,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,8.7,1.6
"Amax",38984,426,641,1334,"Low light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1429,5.4,"SE",0.2,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,5.4,0.2
"Amax",38985,426,641,1336,"Low light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1429,3.6,"SE",1.1,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,3.6,1.1
"Amax",38986,426,641,1337,"High light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1429,9.4,"SE",0.9,3,"Amax",1,-79.394532,43.663349,TRUE,TRUE,9.4,0.9
"Amax",39021,427,642,1338,"Observational",1992-07-01 00:00:00,"00:00:00",NA,1170,12.4895,"SE",0.7532,14,"Amax",7,NA,NA,TRUE,NA,12.4895,0.7532
"Amax",39023,427,642,1338,"Observational",1991-08-01 00:00:00,"00:00:00",NA,1170,14.4979,"SE",0.8159,31,"Amax",8,NA,NA,TRUE,NA,14.4979,0.8159
"Amax",39024,427,642,1338,"Observational",1992-08-01 00:00:00,"00:00:00",NA,1170,13.7448,"SE",0.8786,13,"Amax",8,NA,NA,TRUE,NA,13.7448,0.8786
"Amax",39025,427,642,1338,"Observational",1991-09-01 00:00:00,"00:00:00",NA,1170,8.3473,"SE",0.4393,27,"Amax",9,NA,NA,TRUE,NA,8.3473,0.4393
"Amax",39026,427,642,1338,"Observational",1992-09-01 00:00:00,"00:00:00",NA,1170,3.703,"SE",0.251,12,"Amax",9,NA,NA,TRUE,NA,3.703,0.251
"Amax",39027,427,642,1338,"Observational",1992-06-01 00:00:00,"00:00:00",NA,30,5.2721,"SE",0.4393,34,"Amax",6,NA,NA,TRUE,NA,5.2721,0.4393
"Amax",39028,427,642,1338,"Observational",1991-07-01 00:00:00,"00:00:00",NA,30,7.0921,"SE",0.5649,24,"Amax",7,NA,NA,TRUE,NA,7.0921,0.5649
"Amax",39029,427,642,1338,"Observational",1992-07-01 00:00:00,"00:00:00",NA,30,8.0335,"SE",0.6276,16,"Amax",7,NA,NA,TRUE,NA,8.0335,0.6276
"Amax",39030,427,642,1338,"Observational",1991-08-01 00:00:00,"00:00:00",NA,30,8.9121,"SE",1.0042,28,"Amax",8,NA,NA,TRUE,NA,8.9121,1.0042
"Amax",39031,427,642,1338,"Observational",1992-08-01 00:00:00,"00:00:00",NA,30,8.4728,"SE",0.2511,31,"Amax",8,NA,NA,TRUE,NA,8.4728,0.2511
"Amax",39032,427,642,1338,"Observational",1991-09-01 00:00:00,"00:00:00",NA,30,5.4603,"SE",0.2511,24,"Amax",9,NA,NA,TRUE,NA,5.4603,0.2511
"Amax",39033,427,642,1338,"Observational",1992-09-01 00:00:00,"00:00:00",NA,30,1.2552,"SE",0.2511,7,"Amax",9,NA,NA,TRUE,NA,1.2552,0.2511
"Amax",39740,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,12.3,"SE",56,6,"Amax",6,-74.029,41.406,FALSE,FALSE,12.3,56
"Amax",39741,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1170,12,"SE",0.47,6,"Amax",6,-74.029,41.406,FALSE,FALSE,12,0.47
"Amax",39742,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1164,11,"SE",1.1,6,"Amax",6,-74.029,41.406,FALSE,FALSE,11,1.1
"Amax",39743,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,1164,12.8,"SE",1.74,6,"Amax",6,-74.029,41.406,FALSE,FALSE,12.8,1.74
"Amax",39744,447,681,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,30,7.78,"SE",0.51,6,"Amax",6,-74.029,41.406,FALSE,FALSE,7.78,0.51
"Amax",39745,447,682,1415,"Observational",1999-06-18 05:00:00,"00:00:00",NA,30,10.5,"SE",0.35,6,"Amax",6,-74.029,41.406,FALSE,FALSE,10.5,0.35
"Amax",40760,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,3.3888,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,3.3888,NA
"Amax",40761,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,5.5215,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,5.5215,NA
"Amax",40762,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,3.4044,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,3.4044,NA
"Amax",40763,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,2.0138,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,2.0138,NA
"Amax",40764,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,2.8447,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,2.8447,NA
"Amax",40765,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,2.9515,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,2.9515,NA
"Amax",40766,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,5.7818,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,5.7818,NA
"Amax",40767,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.7931,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.7931,NA
"Amax",40768,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,8.1296,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.1296,NA
"Amax",40769,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.4278,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.4278,NA
"Amax",40770,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.5172,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.5172,NA
"Amax",40771,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,8.0551,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.0551,NA
"Amax",40772,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,9.5957,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,9.5957,NA
